agv_id,route
A001,"DEPOT,T0021,T0017,T0004,DEPOT,T0009,T0033,T0010,DEPOT,T0047,T0022,T0045,DEPOT"
A002,"DEPOT,T0018,T0001,T0020,DEPOT,T0046,DEPOT"
A003,"DEPOT,T0019,T0034,T0025,DEPOT,T0016,T0023,T0032,DEPOT,T0036,T0029,T0035,T0043,DEPOT"
A004,"DEPOT,T0007,T0027,T0024,DEPOT,T0030,T0026,DEPOT,T0031,T0038,DEPOT"
A005,"DEPOT,T0013,T0015,T0042,DEPOT,T0040,T0006,DEPOT,T0014,T0005,T0049,DEPOT"
A006,"DEPOT,T0002,T0041,DEPOT,T0039,T0050,DEPOT"
A007,"DEPOT,T0044,T0037,T0000,DEPOT,T0012,T0028,T0003,DEPOT,T0048,T0011,T0008,DEPOT"
A008,"DEPOT,T0051,T0061,DEPOT"
A009,"DEPOT,T0060,DEPOT,T0055,DEPOT"
A010,"DEPOT,T0081,T0094,DEPOT,T0058,T0090,T0072,DEPOT,T0085,T0076,T0063,DEPOT"
A011,"DEPOT,T0071,T0066,DEPOT,T0091,T0089,T0078,DEPOT,T0097,T0093,T0077,DEPOT"
A012,"DEPOT,T0062,T0083,T0070,DEPOT,T0080,T0099,T0067,DEPOT"
A013,"DEPOT,T0098,T0073,T0079,DEPOT,T0068,T0052,T0057,DEPOT,T0075,T0086,DEPOT"
A014,"DEPOT,T0096,T0095,T0064,T0092,DEPOT,T0088,T0074,T0082,DEPOT,T0087,T0059,T0065,T0053,DEPOT"
A015,"DEPOT,T0056,T0069,DEPOT,T0054,T0084,DEPOT"
