agv_id,route
A001,"DEPOT,T0051,DEPOT,T0040,DEPOT"
A003,"DEPOT,T0052,DEPOT,T0055,T0024,DEPOT"
A004,"DEPOT,T0008,T0077,DEPOT,T0003,DEPOT"
A005,"DEPOT,T0090,DEPOT,T0096,DEPOT"
A006,"DEPOT,T0010,DEPOT,T0070,DEPOT"
A007,"DEPOT,T0100,T0091,DEPOT,T0014,DEPOT"
A008,"DEPOT,T0080,DEPOT,T0062,DEPOT"
A010,"DEPOT,T0002,DEPOT,T0019,T0021,T0084,DEPOT"
A011,"DEPOT,T0047,DEPOT,T0017,DEPOT"
A012,"DEPOT,T0068,DEPOT,T0059,T0098,DEPOT"
A013,"DEPOT,T0042,DEPOT,T0085,DEPOT"
A014,"DEPOT,T0061,DEPOT,T0060,DEPOT,T0095,DEPOT"
A015,"DEPOT,T0057,DEPOT,T0056,DEPOT"
