agv_id,route
A001,"DEPOT,T0006,DEPOT,T0053,T0087,DEPOT"
A003,"DEPOT,T0093,DEPOT,T0091,T0094,DEPOT"
A004,"DEPOT,T0060,DEPOT,T0044,T0069,DEPOT"
A005,"DEPOT,T0023,DEPOT,T0007,DEPOT"
A006,"DEPOT,T0041,DEPOT,T0036,DEPOT"
A007,"DEPOT,T0050,DEPOT,T0037,T0066,T0099,DEPOT"
A008,"DEPOT,T0096,DEPOT,T0049,DEPOT"
A010,"DEPOT,T0089,DEPOT,T0018,T0030,DEPOT"
A011,"DEPOT,T0008,DEPOT,T0074,T0009,DEPOT"
A012,"DEPOT,T0083,DEPOT,T0098,T0075,DEPOT"
A013,"DEPOT,T0028,DEPOT,T0031,T0054,DEPOT"
A014,"DEPOT,T0065,DEPOT,T0025,T0058,DEPOT"
A015,"DEPOT,T0076,DEPOT,T0078,DEPOT"
