agv_id,route
A001,"DEPOT,T0003,T0002,T0004,DEPOT,T0005,T0007,T0006,T0001,DEPOT"
A003,"DEPOT,T0008,T0013,T0012,T0014,DEPOT,T0010,T0009,T0011,DEPOT"
A004,"DEPOT,T0067,DEPOT,T0069,T0064,DEPOT,T0070,T0068,DEPOT"
A005,"DEPOT,T0062,DEPOT,T0063,T0061,DEPOT"
A006,"DEPOT,T0081,DEPOT,T0079,T0080,DEPOT,T0082,DEPOT"
A007,"DEPOT,T0032,T0035,T0033,DEPOT,T0031,T0029,DEPOT"
A010,"DEPOT,T0040,T0042,DEPOT"
A011,"DEPOT,T0052,DEPOT,T0056,T0055,T0051,DEPOT"
A012,"DEPOT,T0024,T0027,T0028,DEPOT,T0025,T0023,T0026,DEPOT"
A013,"DEPOT,T0047,DEPOT,T0045,T0046,T0043,DEPOT"
A014,"DEPOT,T0020,T0017,T0019,DEPOT"
