agv_id,route
A001,"DEPOT,T0019,DEPOT,T0085,DEPOT,T0021,DEPOT"
A003,"DEPOT,T0013,DEPOT,T0084,DEPOT,T0024,DEPOT"
A004,"DEPOT,T0062,T0061,DEPOT,T0003,DEPOT"
A005,"DEPOT,T0042,DEPOT,T0052,DEPOT"
A006,"DEPOT,T0010,DEPOT,T0095,DEPOT"
A007,"DEPOT,T0098,DEPOT,T0096,T0091,DEPOT"
A008,"DEPOT,T0100,DEPOT,T0092,DEPOT"
A009,"DEPOT,T0016,DEPOT,T0068,DEPOT"
A010,"DEPOT,T0077,DEPOT,T0059,DEPOT"
A011,"DEPOT,T0026,DEPOT,T0047,DEPOT,T0014,DEPOT"
A012,"DEPOT,T0038,DEPOT,T0090,DEPOT"
A013,"DEPOT,T0033,DEPOT,T0017,DEPOT,T0015,DEPOT,T0008,DEPOT"
A014,"DEPOT,T0055,DEPOT,T0070,DEPOT"
A015,"DEPOT,T0056,DEPOT,T0051,DEPOT"
