agv_id,route
A015,"DEPOT,T0056,DEPOT,DEPOT,T0051,DEPOT"
A001,"DEPOT,T0040,DEPOT,DEPOT,T0085,DEPOT,DEPOT,T0021,DEPOT"
A005,"DEPOT,T0042,DEPOT,DEPOT,T0052,DEPOT"
A003,"DEPOT,T0013,DEPOT,DEPOT,T0084,DEPOT,DEPOT,T0024,DEPOT"
A006,"DEPOT,T0010,DEPOT,DEPOT,T0095,DEPOT"
A004,"DEPOT,T0061,DEPOT,DEPOT,T0062,T0003,DEPOT"
A014,"DEPOT,T0080,DEPOT,DEPOT,T0070,DEPOT,DEPOT,T0055,DEPOT"
A012,"DEPOT,T0038,DEPOT,DEPOT,T0060,DEPOT,DEPOT,T0090,DEPOT"
A007,"DEPOT,T0091,T0098,DEPOT,DEPOT,T0096,DEPOT"
A013,"DEPOT,T0008,DEPOT,DEPOT,T0017,DEPOT,DEPOT,T0033,T0015,DEPOT"
A010,"DEPOT,T0077,DEPOT,DEPOT,T0002,T0059,DEPOT"
A009,"DEPOT,T0016,DEPOT,DEPOT,T0068,DEPOT"
A011,"DEPOT,T0026,DEPOT,DEPOT,T0047,DEPOT,DEPOT,T0014,DEPOT"
A008,"DEPOT,T0100,DEPOT,DEPOT,T0092,DEPOT"
