agv_id,route
A001,"DEPOT,T0022,T0018,T0005,DEPOT,T0010,T0034,T0011,DEPOT,T0048,T0023,T0046,DEPOT"
A002,"DEPOT,T0019,T0002,T0021,DEPOT,T0047,DEPOT"
A003,"DEPOT,T0020,T0035,T0026,DEPOT,T0017,T0024,T0033,DEPOT,T0037,T0030,T0036,T0044,DEPOT"
A004,"DEPOT,T0008,T0028,T0025,DEPOT,T0031,T0027,DEPOT,T0032,T0039,DEPOT"
A005,"DEPOT,T0014,T0016,T0043,DEPOT,T0041,T0007,DEPOT,T0015,T0006,T0050,DEPOT"
A006,"DEPOT,T0003,T0042,DEPOT,T0040,T0051,DEPOT"
A007,"DEPOT,T0045,T0038,T0001,DEPOT,T0013,T0029,T0004,DEPOT,T0049,T0012,T0009,DEPOT"
A008,"DEPOT,T0052,T0062,DEPOT"
A009,"DEPOT,T0061,DEPOT,T0056,DEPOT"
A010,"DEPOT,T0082,T0095,DEPOT,T0059,T0091,T0073,DEPOT,T0086,T0077,T0064,DEPOT"
A011,"DEPOT,T0072,T0067,DEPOT,T0092,T0090,T0079,DEPOT,T0098,T0094,T0078,DEPOT"
A012,"DEPOT,T0063,T0084,T0071,DEPOT,T0081,T0100,T0068,DEPOT"
A013,"DEPOT,T0099,T0074,T0080,DEPOT,T0069,T0053,T0058,DEPOT,T0076,T0087,DEPOT"
A014,"DEPOT,T0097,T0096,T0065,T0093,DEPOT,T0089,T0075,T0083,DEPOT,T0088,T0060,T0066,T0054,DEPOT"
A015,"DEPOT,T0057,T0070,DEPOT,T0055,T0085,DEPOT"
