agv_id,route
A001,"DEPOT,T0005,T0004,T0006,DEPOT,T0007,T0009,T0008,T0003,DEPOT"
A003,"DEPOT,T0010,T0015,T0014,T0016,DEPOT,T0012,T0011,T0013,DEPOT"
A004,"DEPOT,T0069,DEPOT,T0071,T0066,DEPOT,T0072,T0070,DEPOT"
A005,"DEPOT,T0064,DEPOT,T0065,T0063,DEPOT"
A006,"DEPOT,T0083,DEPOT,T0081,T0082,DEPOT,T0084,DEPOT"
A007,"DEPOT,T0034,T0037,T0035,DEPOT,T0033,T0031,DEPOT"
A010,"DEPOT,T0042,T0044,DEPOT"
A011,"DEPOT,T0054,DEPOT,T0058,T0057,T0053,DEPOT"
A012,"DEPOT,T0026,T0029,T0030,DEPOT,T0027,T0025,T0028,DEPOT"
A013,"DEPOT,T0049,DEPOT,T0047,T0048,T0045,DEPOT"
A014,"DEPOT,T0022,T0019,T0021,DEPOT"
